,Disease,Symptoms,Cleaned_Symptoms
235,Polycystic ovary syndrome (PCOS),"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
236,Postnatal depression,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
237,Pressure ulcers,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
238,Psoriatic arthritis,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
239,Pubic lice,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
240,Rare conditions,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
241,Raynaud’s phenomenon,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
242,Retinoblastoma: Children,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
243,Scabies,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
244,Seasonal affective disorder (SAD),"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
245,Shingles,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
